 0.1205797E-03  0.1000000E+01  0.2015853E-02  0.1000000E+01
 0.2411592E-03  0.9999981E+00  0.1999187E-02  0.1000027E+01
 0.3617384E-03  0.9999961E+00  0.1982605E-02  0.1000054E+01
 0.4823175E-03  0.9999942E+00  0.1966115E-02  0.1000080E+01
 0.6028963E-03  0.9999923E+00  0.1949728E-02  0.1000106E+01
 0.7234749E-03  0.9999904E+00  0.1933453E-02  0.1000132E+01
 0.8440534E-03  0.9999886E+00  0.1917298E-02  0.1000156E+01
 0.9646316E-03  0.9999867E+00  0.1901270E-02  0.1000181E+01
 0.1085210E-02  0.9999849E+00  0.1885375E-02  0.1000205E+01
 0.1205788E-02  0.9999831E+00  0.1869618E-02  0.1000229E+01
 0.1326365E-02  0.9999813E+00  0.1854005E-02  0.1000252E+01
 0.1446943E-02  0.9999795E+00  0.1838537E-02  0.1000275E+01
 0.1567521E-02  0.9999777E+00  0.1823219E-02  0.1000297E+01
 0.1688098E-02  0.9999760E+00  0.1808052E-02  0.1000319E+01
 0.1808675E-02  0.9999742E+00  0.1793039E-02  0.1000341E+01
 0.1929252E-02  0.9999725E+00  0.1778181E-02  0.1000362E+01
 0.2049829E-02  0.9999708E+00  0.1763479E-02  0.1000383E+01
 0.2170406E-02  0.9999691E+00  0.1748935E-02  0.1000404E+01
 0.2290983E-02  0.9999674E+00  0.1734547E-02  0.1000424E+01
 0.2411560E-02  0.9999657E+00  0.1720318E-02  0.1000444E+01
 0.2532136E-02  0.9999641E+00  0.1706246E-02  0.1000463E+01
 0.2652713E-02  0.9999624E+00  0.1692332E-02  0.1000482E+01
 0.2773289E-02  0.9999608E+00  0.1678576E-02  0.1000501E+01
 0.2893866E-02  0.9999592E+00  0.1664976E-02  0.1000520E+01
 0.3014442E-02  0.9999575E+00  0.1651532E-02  0.1000538E+01
 0.3135018E-02  0.9999560E+00  0.1638244E-02  0.1000556E+01
 0.3255594E-02  0.9999544E+00  0.1625110E-02  0.1000574E+01
 0.3376171E-02  0.9999528E+00  0.1612130E-02  0.1000591E+01
 0.3496747E-02  0.9999513E+00  0.1599302E-02  0.1000608E+01
 0.3617322E-02  0.9999497E+00  0.1586626E-02  0.1000625E+01
 0.3737898E-02  0.9999482E+00  0.1574100E-02  0.1000642E+01
 0.3858474E-02  0.9999467E+00  0.1561723E-02  0.1000658E+01
 0.3979050E-02  0.9999452E+00  0.1549494E-02  0.1000674E+01
 0.4099625E-02  0.9999437E+00  0.1537411E-02  0.1000689E+01
 0.4220201E-02  0.9999422E+00  0.1525474E-02  0.1000705E+01
 0.4340776E-02  0.9999407E+00  0.1513680E-02  0.1000720E+01
 0.4461351E-02  0.9999392E+00  0.1502029E-02  0.1000735E+01
 0.4581927E-02  0.9999378E+00  0.1490519E-02  0.1000750E+01
 0.4702502E-02  0.9999364E+00  0.1479149E-02  0.1000764E+01
 0.4823077E-02  0.9999349E+00  0.1467916E-02  0.1000779E+01
 0.4943652E-02  0.9999335E+00  0.1456820E-02  0.1000793E+01
 0.5064227E-02  0.9999321E+00  0.1445860E-02  0.1000807E+01
 0.5184802E-02  0.9999307E+00  0.1435033E-02  0.1000820E+01
 0.5305376E-02  0.9999293E+00  0.1424338E-02  0.1000834E+01
 0.5425951E-02  0.9999280E+00  0.1413774E-02  0.1000847E+01
 0.5546526E-02  0.9999266E+00  0.1403339E-02  0.1000860E+01
 0.5667100E-02  0.9999252E+00  0.1393032E-02  0.1000873E+01
 0.5787674E-02  0.9999239E+00  0.1382851E-02  0.1000885E+01
 0.5908249E-02  0.9999226E+00  0.1372795E-02  0.1000898E+01
 0.6028823E-02  0.9999212E+00  0.1362862E-02  0.1000910E+01
 0.6149397E-02  0.9999199E+00  0.1353051E-02  0.1000922E+01
 0.6269971E-02  0.9999186E+00  0.1343360E-02  0.1000934E+01
 0.6390545E-02  0.9999173E+00  0.1333788E-02  0.1000946E+01
 0.6511119E-02  0.9999160E+00  0.1324333E-02  0.1000957E+01
 0.6631692E-02  0.9999147E+00  0.1314994E-02  0.1000968E+01
 0.6752266E-02  0.9999135E+00  0.1305770E-02  0.1000980E+01
 0.6872840E-02  0.9999122E+00  0.1296658E-02  0.1000991E+01
 0.6993413E-02  0.9999110E+00  0.1287658E-02  0.1001001E+01
 0.7113986E-02  0.9999097E+00  0.1278769E-02  0.1001012E+01
 0.7234560E-02  0.9999085E+00  0.1269988E-02  0.1001023E+01
 0.7355133E-02  0.9999073E+00  0.1261315E-02  0.1001033E+01
 0.7475706E-02  0.9999060E+00  0.1252747E-02  0.1001043E+01
 0.7596279E-02  0.9999048E+00  0.1244284E-02  0.1001053E+01
 0.7716852E-02  0.9999036E+00  0.1235925E-02  0.1001063E+01
 0.7837425E-02  0.9999024E+00  0.1227667E-02  0.1001073E+01
 0.7957997E-02  0.9999013E+00  0.1219511E-02  0.1001082E+01
 0.8078570E-02  0.9999001E+00  0.1211453E-02  0.1001092E+01
 0.8199142E-02  0.9998989E+00  0.1203493E-02  0.1001101E+01
 0.8319715E-02  0.9998977E+00  0.1195631E-02  0.1001110E+01
 0.8440287E-02  0.9998966E+00  0.1187863E-02  0.1001120E+01
 0.8560859E-02  0.9998954E+00  0.1180190E-02  0.1001128E+01
 0.8681431E-02  0.9998943E+00  0.1172610E-02  0.1001137E+01
 0.8802003E-02  0.9998932E+00  0.1165122E-02  0.1001146E+01
 0.8922575E-02  0.9998920E+00  0.1157724E-02  0.1001154E+01
 0.9043147E-02  0.9998909E+00  0.1150416E-02  0.1001163E+01
 0.9163719E-02  0.9998898E+00  0.1143195E-02  0.1001171E+01
 0.9284290E-02  0.9998887E+00  0.1136062E-02  0.1001179E+01
 0.9404862E-02  0.9998876E+00  0.1129014E-02  0.1001188E+01
 0.9525433E-02  0.9998865E+00  0.1122052E-02  0.1001195E+01
 0.9646005E-02  0.9998854E+00  0.1115172E-02  0.1001203E+01
 0.9766576E-02  0.9998844E+00  0.1108376E-02  0.1001211E+01
 0.9887147E-02  0.9998833E+00  0.1101660E-02  0.1001219E+01
 0.1000772E-01  0.9998822E+00  0.1095025E-02  0.1001226E+01
 0.1012829E-01  0.9998812E+00  0.1088469E-02  0.1001234E+01
 0.1024886E-01  0.9998801E+00  0.1081992E-02  0.1001241E+01
 0.1036943E-01  0.9998791E+00  0.1075591E-02  0.1001248E+01
 0.1049000E-01  0.9998780E+00  0.1069267E-02  0.1001255E+01
 0.1061057E-01  0.9998770E+00  0.1063017E-02  0.1001262E+01
 0.1073114E-01  0.9998760E+00  0.1056842E-02  0.1001269E+01
 0.1085171E-01  0.9998749E+00  0.1050740E-02  0.1001276E+01
 0.1097228E-01  0.9998739E+00  0.1044710E-02  0.1001283E+01
 0.1109285E-01  0.9998729E+00  0.1038751E-02  0.1001290E+01
 0.1121342E-01  0.9998719E+00  0.1032862E-02  0.1001296E+01
 0.1133399E-01  0.9998709E+00  0.1027043E-02  0.1001303E+01
 0.1145456E-01  0.9998699E+00  0.1021292E-02  0.1001309E+01
 0.1157513E-01  0.9998689E+00  0.1015608E-02  0.1001315E+01
 0.1169570E-01  0.9998680E+00  0.1009992E-02  0.1001321E+01
 0.1181627E-01  0.9998670E+00  0.1004440E-02  0.1001328E+01
 0.1193684E-01  0.9998660E+00  0.9989542E-03  0.1001334E+01
 0.1205741E-01  0.9998650E+00  0.9935319E-03  0.1001340E+01
